Reference test application,Path inside `sources` directory,Description
Optical flow example,apps/sample_apps/deepstream-nvof-test,Demonstrates optical flow functionality for single or multiple streams. This example uses two GStreamer plugins (Gst-nvof and Gst-nvofvisual). The Gst-nvof element generates the MV (motion vector) data and attaches it as user metadata. The Gst-nvofvisual element visualizes the MV data using a predefined color wheel matrix.
Custom meta data example,apps/sample_apps/deepstream-user-metadata-test,Demonstrates how to add custom or user-specific metadata to any component of DeepStream. The test code attaches a 16-byte array filled with user data to the chosen component. The data is retrieved in another component. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
MJPEG and JPEG decoder and inferencing example,apps/sample_apps/deepstream-image-decode-test,Builds on deepstream-test3 to demonstrate image decoding instead of video. This example uses a custom decode bin so the MJPEG codec can be used as input. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Handling metadata before Gst-nvstreammux,apps/sample_apps/deepstream-gst-metadata-test,"Demonstrates how to set metadata before the Gst-nvstreammux plugin in the DeepStream pipeline, and how to access it after Gst-nvstreammux. This app uses resnet18_trafficcamnet_pruned.onnx for detection."
Gst-nvinfer tensor meta flow example,apps/sample_apps/deepstream-infer-tensor-meta-test,"Demonstrates how to flow and access nvinfer tensor output as metadata. NOTE: This binary is not packaged due to OpenCV deprecation. This app needs to be compiled by the user. This app uses resnet18_trafficcamnet_pruned.onnx for detection and 2 classifier models (i.e., resnet18_vehiclemakenet_pruned.onnx, resnet18_vehicletypenet_pruned.onnx)."
Preprocess example,apps/sample_apps/deepstream-preprocess-test,Demonstrates inference on preprocessed ROIs configured for the streams. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
3D action recognition Reference app,apps/sample_apps/deepstream-3d-action-recognition,Demonstrates a sequence batching based 3D or 2D model inference pipeline for action recognition. It also includes a sequence based preprocess custom lib for NCSHW temporal batching. Refer Prerequisites in README before running the application. This app uses resnet18_2d_rgb_hmdb5_32.etlt for 2D and resnet18_3d_rgb_hmdb5_32.etlt for 3D action recognition.
Analytics example,apps/sample_apps/deepstream-nvdsanalytics-test,"Demonstrates batched analytics like ROI filtering, Line crossing, direction detection and overcrowding. This app uses resnet18_trafficcamnet_pruned.onnx for detection."
OpenCV example,apps/sample_apps/deepstream-opencv-test,Demonstrates the use of OpenCV in dsexample plugin. Need to compile dsexample with flag ``WITH_OPENCV=1``. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Image as Metadata example,Apps/sample_apps / deepstream-image-meta-test,Demonstrates how to attach encoded image as meta data and save the images in jpeg format. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Appsrc and Appsink example,apps/sample_apps/deepstream-appsrc-test,Demonstrates AppSrc and AppSink usage for consuming and giving data from non DeepStream code respectively. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Cuda Appsrc and Appsink example,apps/sample_apps/deepstream-appsrc-cuda-test,Demonstrates  how cuda frames acquired from outside DeepStream can be fed to a DeepStream pipeline.
Transfer learning example,apps/sample_apps/ deepstream-transfer-learning-app,Demonstrates a mechanism to save the images for objects which have lesser confidence and the same can be used for training further. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Smart Record example,apps/sample_apps/deepstream-testsr,Demonstrates event based smart record functionality. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
DeepStream NMOS Application,apps/sample_apps/deepstream-nmos,"This application demonstrates how to create a DeepStream app as an `NMOS <https://specs.amwa.tv/nmos/>`_ Node.
It uses a library (NvDsNmos) which provides the APIs to create, destroy and internally manage the NMOS Node.
The NMOS Node can automatically discover and register with an NMOS Registry on the network using the `AMWA IS-04 <https://specs.amwa.tv/is-04/>`_ Registration API.

It also shows how to create various Video and Audio pipelines, run them simultaneously and reconfigure them based on NMOS events such as `AMWA IS-05 <https://specs.amwa.tv/is-05/>`_ Connection API requests from an NMOS Controller."
DeepStream UCX test,apps/sample_apps/deepstream-ucx-test,Demonstrates how to use the communication plugin `gst-nvdsucx` with DeepStream SDK. The application has been validated with kernel-5.15.
DeepStream 3D Depth Camera Reference App,apps/sample_apps/deepstream-3d-depth-camera,"Demonstrates how to setup depth capture, depth render, 3D-point-cloud processing and 3D-points render pipelines over DS3D interfaces and custom-libs of `ds3d::dataloader`, `ds3d::datafilter` and `ds3d::datarender`. See more details in :doc:`DS_3D_Depth_Camera`"
DeepStream 3D Lidar Data Inferencing Reference App,apps/sample_apps/deepstream-lidar-inference-app,"Demonstrates how to read in point cloud data, inference point cloud data with pointpillar 3D objects detection model with Triton, render point cloud data and 3D objects with GLES. The whole application is based on DS3D interfaces and custom-libs of `ds3d::dataloader`, `ds3d::datafilter` and `ds3d::datarender`. See more details in :doc:`DS_3D_Lidar_Inference`"
Deepstream Server Application,apps/sample_apps/deepstream-server,Demonstrates REST API support to control DeepStream pipeline on-the-fly.
DeepStream Can Orientation Sample App,apps/sample_apps/deepstream-can-orientation-app,Demonstrates can orientation detection with CV-based VPI template matching algorithm.  VPI template matching is implemented with DeepStream video template plugin. See more details in apps/sample_apps/deepstream-can-orientation-app/README
Triton Ensemble Model Example,apps/sample_apps/TritonBackendEnsemble,"Configuration files, Triton custom C++ backend implementation and custom library implementation for Triton ensemble model example. Demonstrates use of Triton ensemble models with gst-nvinferserver plugin and how to implement custom Triton C++ backend to access DeespStream metadata like stream ID using multi-input tensors."
deepstream-multigpu-nvlink-test,apps/sample_apps/deepstream-multigpu-nvlink-test,"Uses gst-nvdsxfer plugin to simulate pipelines with NVLINK enabled multi-gpu setup to achieve better performance. User can use ""position"" param of nvxfer config section from dsmultigpu_config.yml file to simulate gst-nvxfer plugin supported various multi-gpu usecase pipelines."
deepstream-ipc-test,apps/sample_apps/deepstream-ipc-test,Demonstrates decoder buffer sharing IPC use-case on Jetson platform for live streams to optimize NVDEC HW utilization. This example uses IPC sink and IPC source element to interconnect GStreamer pipelines that run in different processes.
deepstream-demuxer-static,apps/sample_apps/deepstream-demuxer-static,Demonstrates dynamically adding pads to nvstreamdemux already linked in the pipeline. Uses nvstreamdemux to separate batched frames into individual streams. Supports static source pads (predefined URI list) and dynamic source pads (REST API-based addition).
deepstream-demuxer-dynamic,apps/sample_apps/deepstream-demuxer-dynamic,Demonstrates dynamically adding nvstreamdemux to the pipeline during runtime. Uses tee element to split output: one branch to tiler and another to dynamically created nvstreamdemux. Each demuxer source pad gets a processing branch (queue -> nvdsosd -> sink).
KITTI overlay example,apps/sample_apps/deepstream-kitti-overlay,"Builds on deepstream-test3, but does NOT run inference. Overlays bounding boxes from pre-generated DeepStream KITTI dump files onto one or more video sources for offline analysis, using a uridecodebin so any GStreamer-supported input, container format, and codec can be used."
Dynamic source decoder throughput example,apps/sample_apps/deepstream-dynamicsrcbin-test,"Demonstrates the nvdsdynamicsrcbin element for high decoder-throughput scenarios. The element keeps a single decoder active at all times and supports run-time addition and removal of video sources without pipeline reconstruction, avoiding per-stream decoder initialization overhead."
Triton ONNX YOLOv3 custom postprocessing example,apps/sample_apps/TritonOnnxYolo,"Demonstrates using Gst-nvinferserver (DS-Triton) to run ONNX YOLOv3 models with dynamic-sized, multi-input output tensors, and how to implement a custom nvdsinferserver::IInferCustomProcessor to parse the mixed-batch output tensors and attach detection bounding boxes into NvDs metadata."
